1:6	"lei e xion"
123:12	"xi?"
123:13	xisamiklankhal
123:14	mol
123:15	xi
123:17	"lena xen sil cuux im to?"
123:18	"en im to tet om"
123:20	"see lena xen cuux im cuuks, alfi... nermes via"
123:21	"via et to?"
123:22	"nermes"
123:23	"nermes via"via
123:26	"im nermes??"
123:27	"m? a, haan, tyu lo cuux et veer sete? tee, xi cuux, el xen dunex im varzon"
123:29	"lena xen dunex im varzon via"
124:4	"fis, lena xen xiit harx yogel mil melsel"
124:8	lael, amelia
125:19	"xion, ren olx oga"
125:21	"kes, ren sed yuka tuul"
125:27	eeli
126:3	beltgimbelt
126:4	danbeltgim
126:10	tu et atx
126:11	"na nau"
126:14	"a, hel. tua, tu et fiina tyu. tyu mal dia vet t'arka kokko tu"
126:17	"tu et klel"
126:22	"tu et veteda sof. tyu mal dia arka kokko tu"
126:23	"mal? mal et to?"
126:24	vet
126:25	malvetkel
126:26	malkel
126:30	"sent, lein. non mal sil tutu vet"
127:1	"en mal sil tet mal fan"
127:2	"mal fannon mal fan tutu vet!"
127:3	"ya, atte!"
127:19	"tu et klel fiina mextan eu"
127:21	"nyaa... tyu alna vil non"
127:22	t
127:29	"tyu mal sen il? tu... aa 3000 vet via in"
127:30	"mm? a, ya"
128:1	"haa, son tu mols toal, tyu lo?"
128:2	"non en alna tyu"
128:3	alna
128:5	"non lo tu mols sil 3 xelt olta aven"
128:6	"3000 vet"
128:8	vikot vet
128:20	"nee, lein, tu xelt et xelt ko e salt? tia?"
128:21	"ya, tia"
128:23	"xelt ko"
128:27	tesuutes
129:2	"1000 vet!"
129:5	"tu eks tyu mal fan 1000 vet fol alisnakea? hqm, tu et kin na"
129:10	"xom non mal fan hac tuan. ren axt tuus atu"
129:14	"tu mols fil xel el mais arka. xom tyu na sil kin on xook alen lena. alson non estel fan dosm
129:15	e xook kokko aa... nihongo,? fastel"
129:17	tutu et hilagana
129:20	"ya, seere"
130:10	keakea
130:13	kea
130:19	kea
130:29	ren axt atu
131:6	"tutu et il hac?"
131:9	"hqm, lala es luus til hac enk l'apia lim kok eyo. xiel hilagana fiina min kont katakana fiina vik,?
131:10	mil hilagana et siip fein.... tee, ol soa, xion lexe xax elf katakana a non mil non bas tu. xom...
131:11	ova, hac len axt vet aal teu... mextvet...?"
131:20	"xom tyu ren estel tutu vet a nihongo"
132:4	"xion, tyu en til ani on pitm?"
132:8	aa... cuux?
132:9	"ya, xom xen xiit cuux halm"
132:13	xenxen
132:14	kui
132:15	kuixen
132:17	kurens
132:18	sonxom
132:19	xomsonxom
132:21	taltetyan
132:22	see
132:23	xenkuiyansee
132:26	"ya, xen xiit cuux, lein. non es kulan"
132:27	"m? tyu males ratel ter. tu kuom e kulan et tia"
132:28	"non na nau. sent. non et lexe sete?"
132:29	"mm...""tyu at ank fein im rens vil arka"
132:30	teeyu? teeyu?
133:1	"olta teeyu, non rens vil me tuube a "
133:4	"lala non ar vil em reiarens mil lu or axk al arka"
133:21	"a, tu et opo"
133:23	"nee, tyu mal fan tutu il xanel?"
133:24	tututuus
133:27	ol
134:3	"ol el et min, ku nos et min,
134:4	son lu ku xan"
134:5	nos
134:9	"ol jan et soret, son "jan et soret" et xan"jan
134:10	soret
134:15	nim
134:16	fir, verhar, soret, diia,
134:17	imellette, kaaf, dolf, lejemme
134:19	"lein, tu et to nim?""lette"
134:21	"son, tu et to nim?""lette"
135:5	"tu et to nim?""imel"
135:9	"a, lisiknim tan et passo"
135:16	"saa, tyu mal fan tutu il xanel?"
135:18	"ya"
135:26	"to,? lein"
135:27	"non na tyu xir tu"
135:30	"sent, sent!"
136:27	"non es omo. xom xidia xiit"
138:19	"nee, lein. tyu te felan?"
138:20	felanfelan
138:22	"m... tyu rens sen arka ekosel ter. tinka. see tee, non et felan"
138:23	ekos
138:25	"ya, non alnak vei. tyu et felan sete. son es tyu en kor felka?"
138:27	"mil melselnian"
138:28	"aa... om tyu kor kit felka?"
138:30	"sel e rava e. non xax fan arka a tyu kalt tu eu"
139:4	"tu te yet? mm... non et xet na"
139:6	"teo, teo! non sent tyu tiinal"
139:8	"alna, non na nau"
139:9	"a, tyu rens ax en alna tet atta wen im tur"
139:10	"mm... ?a... ya, atta"
143:7	"a... lein, il... na sil non et zal mil non leines tu?"
143:8	leinesleinleinsab
143:10	lein
143:13	lein
143:15	"m? il na sil tyu et nagisa, lan e kad altia"
143:17	"haan"
144:6	falxian
144:18	xiikaartis
144:23	"atu et xiika sete"
144:24	"ya. non lunas atu lana dert"
144:26	"non tan so xaf?"
144:27	"ol tyu em lan artist"
144:28	"artist... alfi, xaran t'artis?"
144:29	"ax. tyu xarat fi mirok ka fia enat?"
144:30	"tee"
145:1	"son tyu em ax artist fol xa atu"
145:11	"lein, non rens ax to?"
145:12	"tio, "non dert nan al arte""
145:16	"ep? el en xir pelt?"
145:17	"pelt... lulu tyu ser tu vet as. ya, tyu en xir pelt im tu ras fien artis til pelt ran"
145:24	"ap, non en sos le kelel"
145:25	"ep,? yul to?"
145:26	"aa... xion, tyu ren kolt ra sa non. non xike fan tyu taxel"
145:28	"mm, passo"
146:8	"xion? tyu tor beke...atu?"
146:13	"tyu en ser? mm... non lo la et vik le vandat tyu"
146:14	"la tor eyo"
146:15	"la kamil saines xe in"
146:16	"saines?"
146:17	"sainor""a"
146:23	"arte..."
146:27	"tyu kapat la vik a nain sete?"
146:28	"tee"
146:30	"mil... lain kamil fixat tyu tea non kap a lain. non rensat ax to? lu mana lunas i fia alt? tee, lain
147:1	fosat fan tyu"
147:2	"alnak tifa tis"
147:3	"qm... alfi... . alna?"
147:6	"tyu so fan? sentant, lein. tyu nektat non siina"
147:7	"mm... tet tu et zal. la lax to eyo, fien lena si radl"
147:8	"radl..."
147:9	radl
148:13	"om il kor kit felka?"
148:14	"fis e"
148:16	"son tyu kor fal vadel"
148:17	"passo. non kor elf felka fol fou sel mil non xax lan arka a tyu"
148:20	"es tyu et daj soa a non?"
148:21	"kit, mil tyu alkat non siina. xom non nat nan alk fal tyu lex altfian. tet tur, non na nan so lan
148:22	mil nan siina tyu, xion. non na ban o lol e"
148:23	"haan, xan? non na nau tiinal. non tan siina tyu ati tin, lein"
148:26	"myu... ren rens tu kokko nihongo sof fein"
148:28	"ke felka"
149:1	"qm... tet
149:2	"
149:13	manakasamanaximana
149:14	samananarte
149:18	"xion, tyu tan et felan ka fia tuan?"
149:19	"ya. non tan et narte xalt tu kad"
149:22	"kuim on fia tuan, xe meldat tyu atu. lala es a ra noan eyo?"
149:24	"en ser"
149:25	"xiel, lu et la vik kokkoen tips?"
149:26	"tee tee, lu vik at... lant"
149:27	"at lant? rens ax ses lant"
149:30	at"lu at lant"
150:6	sesatses
150:9	"ya, la ses lant"
150:10	"lu et mirok ter"
150:13	"ol mirok, son ne?"
150:14	"lu et deem, non lo"
150:17	"xiel, lu et meltia"
150:19	"sol meltia?"
150:20	"ya, fien el nask sen tu en sofel"
150:22	"lana to?"
150:23	"xalet meltia solsat tyu vano non nonno?"
150:26	"ya, tia tia. non xar tu"
150:27	"tal, sol deem?"
150:28	"deem tan et mirok e, xion"
151:1	"nee, lein. tur, non asm lan xe a tyu, passo?"
151:2	turfissiina
151:5	"ya, leev"
151:6	"es tyu ra atu kokko yuu? pin, tix non"
151:8	"mil... xite noan leeves atolas"
151:11	"om?"
151:13	"mama, im non at lij. yan papa, duurga, sa ko xelt iten lamakt lenan"
151:18	"mm... pent"
151:19	"qm... uude et fein"
151:20	"uude, lein"
151:21	"sent. see duurga at yulfan t'art, yun erisfelan eu"
151:23	tart
151:25	art
151:26	"m?"
151:27	"tyu rensik art sete?"
151:28	"ya. duurga at yulfan t'art"
152:3	"art??"
152:4	"ya.... lala es tyu na nik ati soa? xiel, fia tuan si art?"
152:6	"ki?"
152:12	"si, si! hayu art xa atu?? xa atolas sete??"
152:14	"t, tee, a, ax... mm..."
152:16	"ren ixn ranel!"
152:17	"mm, ya. art xa atolas kok mirok. tal lena ar vil tu"
152:18	ne so sen?? kaan
152:19	tuan??
152:20	"ya... xiel, mil la at yulfan"
152:22	"hai non lo satlan t'artea ar sen xalel art"
152:24	tales
152:25	artales
153:8	 lantis
153:29	haim
154:12	xtarez
154:13	fiina
155:7	"nee lein, om lop luna?"
155:8	"tyu en terat xe fo teu "tuun"? tu fo apia leevlop kokko ras enat"
155:12	"tu te lav xel fo luna ras 10 as?"
155:13	"passo, 3 ras et alka"
155:22	:
157:10	"alas 5"
158:25	"soono"
159:3	"leeein!"
159:7	"fiima, alia"
159:9	"noel nat reia mil si xian var nian e!"
159:15	"lutia at ak?"
159:16	"tinka! len leemi kad et daz a noel teu yunk domt!"
159:17	"yunk l'anx nan lex noel sete? ahah, ku ku!"
159:21	"semaim tuan?""ya"
159:23	"alia, alia ineaato. anestol"
159:24	"non et xion, anestol"
159:26	"tyu et altian tex eel, sete? kekko a felka lenan"
160:1	"qm... tyu tan et koksaim e lein?"
160:2	"tee, non et raldura"
160:4	"lu et mei e ra e fuulan esti. xom lu lodes a raldura tisse"
160:6	"fuulan kaks? tu et siiyu"
160:8	"tee tee, tio non vastat tu felka kokko fuul on tas"
160:10	"te em
160:11	rana. luube et looa al arka"
161:7	"xion, atu"
161:17	"in ranel limel sein, skil luut et ratsrats. an em ris rien xed rei im harx tis a"
161:18	"pana e"
161:22	"dyussou arxe, tyu klitik non ratel rak. tio tu skil et rats ento tu mols fil bebelel xel non
161:23	sor nan antisse"
162:19	etto
162:21	limel
162:22	salanarxe
162:23	etto, salan, arxe
162:25	arxe
162:26	ettosalan
162:30	"nee lein, dyussou at felan e tu felka sete? tet lu et hasm tiina nod lena. xom es lu serat
163:1	lilis?"
163:2	"qm..."
163:5	"man luus et mei e lensliifa tisee. tisa, arnamana til 6 lan l'et hax alka. see 5 e luus leis liifa
163:6	e lens kont 1 del hax alka xtam nos seel tu liifa. fe felnif til lensliifa. yan lein yutia et
163:7	mei e lensliifa, rafa et seel e liifa"
163:13	"see alia tan et mei e lensliifa. xink, an tan at soa. yan arnamana til axe fiinaen mei e lensliifa.
163:14	alson an itonat luus tisee"
163:17	"haan, alnak ranel. seere"
163:30	"tyu lax wel?"
164:1	"non en ser wel et daz a non. xom tyu ren jig fiina non"
164:2	"alna"
164:17	"m? ti ku lax to? a, ti pio van vei? passo, passo"
165:18	part
165:21	velmpart
165:29	"lein, xion"
166:1	"soono, alia"
166:2	"soono, xion"
167:4	"hei, limel sein"
167:5	"soonoyun"
167:6	"ansent on etek. see bekka xa ez anmia?"
167:7	"ya. jet ke das yunk sein, arxe sou"
167:8	"ax, anseere"
168:30	"xirius, tu et men. meldes yunk sein"
169:2	"ren lat"
169:7	"ou, sol ti et ca yumanan ankok, yunk"
170:4	"freinoa"
170:8	"hei sara, ans aror harx ok hacn sam. son jot van a"
170:9	sara
170:10	"ansoonoyun, non et xion aano"
170:13	"sara varktod, anestol"
170:20	imanzel
170:26	"saia..."
170:28	"anpentant, yunk. an leev fal
170:29	in. ansentant on harx ban"
173:4	"xion?"
176:12	"lusiel et lua artena tisse, ca aster"
176:23	"lu et kyoan?"
176:24	"ya, dialiifa t'arbazard kont velsan alka e"
176:28	"alfi... tu et passo,? xel aster et ensa"
176:30	"qm... tu et yet,? xel velsan et liifa on kad xiant"
177:1	"ya... ya... kamil"
177:6	"la nektates nan et hana e mirok yutia kalt em siin alka lot minkyoan"
177:11	"lulu, tyu leines lua artenan xan. tuumi et daz a tyu e"
177:12	"soa e?"
177:14	"amel tan laxat tu, tet laala en fitat a la mil laabe xal lij eu"
177:20	"len soret et daz a tyu mil tu sins laftati tuan e"
177:21	"tee. sol xian tan lein dia fi tend,? mil tu et aluut daz na"
177:22	"ahah... tet non et ibet on lein tuumi e"
179:21	"pa..."
179:24	"...papa. te leev... non. reian... reian e..."
181:16	"arhan t'arnamana""t"
181:17	"fit al an""fitta lan"
181:21	"en ser""an ser""aster""astel"
181:23	"valonto""valn on to?"
182:22	see lena kor xiit lanskern
182:29	"soono"
182:30	"ou, ti sabes laasa im fis. tu et daz rat a ti, xion"
183:3	"sentant, arxe"
183:7	dyussou
183:8	xion liizliiz
183:10	dyussouetto
183:11	arxe
183:12	papa
183:14	xaxan
183:15	xanxa
183:16	dyussou
187:8	,
188:14	ren eeeelf!
188:30	"wei! der kut nos vand luube ol dis alponz a der!"
189:4	"xion! ti ren haas lu!"
189:11	"wei, re ponz a dai!"
189:17	"beo!"
189:27	"re pooonz!"
190:15	"re ixn, es ti luna atu?"
190:19	"le zon..."
190:26	"hei... dina, tu xiv..."
190:28	"hqr? nebra??"
191:1	"etto, tyu ser lu?"
191:3	"oklabast ant de"
191:8	"saa, ren skin atu. pentant on an vixat ti. tal sa total, ti re vant luus yunk"
191:9	"anteo..."
191:21	"hei milia, an fit van tex rat xant. xalet, kaan tiil en vortes de"
191:25	"tu et... xan anmian...?"
191:29	"vilot, la kyos nos vortat... lana nekt le zon i xelan. le zon... varde kaks"
192:7	"xion, an ret xe a ti..."
192:14	"arte!"
196:29	"xion, tyu netat vadel sete"
197:1	"ya, non malor dialas"
197:2	"soa e? atte. see non lad fan faax"
197:3	"a, non alk fan tyu"
197:8	"nee, lena pio ax varde a ra t'alia?"
197:9	"ya, tyu ren pio le kont eves le a mesl"
197:10	"tet... il fix elf lena eyo?"
197:12	"passo, tyu yun felan tex tolis, xom tyu ren lein vavsab t'altia fol pio varde. son il fix elf
197:13	tyu olta tyu pio mesl fil rak"
197:23	"hwa"
199:23	"soonoyuuun. aliaaa, tu et lein ee. "
199:30	"a, ha! lein etta ont arxe etto, soonoyun. alia sete? ren lat a pot"
200:2	"non et xion. non na ruuf mil nan lunak ra e fuulan esti"
200:4	"anestol. tet non et tio verped t'ineaato antisse, mil non te axk a fuul"
200:6	"anestol, verped liiz"
200:10	"lu anteo, lu anteo! luube et mextan le ser yuu tisse!"
200:15	"leev, lilis il"
200:24	verped
200:26	verped
201:1	"solvat"
201:2	"soono, alia. see lena lax tyu fuul xe"
201:3	"passo"
201:5	"lein imyu atu e. xax e vav?"
201:6	lein
201:8	"ahah..."
201:14	"tu... et varde kaks ter?"
201:15	"non lax tyu jins tu et kaks az"
201:24	"tu te kaks. noel en na vir tiina i tu"
202:1	"hai, lu nebra rensat papa xiel lfis xal. ol soa... xom lu xa am?"
202:2	"sol dyussou...? qm... passo fien noel fuul moa la im salt tox"
202:5	"qmm... arte, noel in sen xe im tu ras a. tu et... to...? er"
202:6	"er? ...belfe?"
202:7	"mm... tee... tu... tier?"
202:8	"tier... kateej?"
202:9	"xalet... see... xea... xea... tu et axea a?"
202:10	"axea... e kateej eyo?"
202:13	"see non ins... xe... diam.... lu et..."
202:14	"aa!"
202:15	"kateej, axea, diam. son tu et miilya xa!"
202:16	"sentant, etto! ya, tu et mixpaxea in. lein, atu fo tinl a xian?"
202:17	"altra rante xa frem lyu tisse. haan, xalet, papa es nekt atu na"
202:18	"tet, ixta le noel in et ixta tur en aluutel tisse. alfi, dyussou duurga xiel mi kateej im tur
202:19	e"
202:26	"qm... dildox, non rip lan xerka"
203:8	"saa... anvant on non anxat tyu lex... qm"
203:9	"smsm, ilpasso anne. dina non et soa xanel. ra t'ineaato et esti on fuul. tet non te yoa merel
203:10	ento rsiil noan lut na apen, fien non nap elf tuube merel, ahah"
203:13	"saa, non til 3 koom antisse, kav alia. il, iiil et fuulan siiyu tix non. eeta sein et rana lutel,
203:14	laas et lut rana on total. fel, yulf, fuul, milf, total total. lala non nad laas tifl pitm var levn e
203:15	rana, ahah. saa kuim, non na kulan a. hei, kuim on kulala, tyu siinat opo le non piot? le et cuux
203:16	l'alia etta taut ka xe ate kaen... kaen qm am el,? ...a, alas... kenoooo xe ate teu mar lant el?"
203:28	"aa, tyu vat bas non tisse"
203:30	"tee tee, vaden tyu em reiz ka tu ra"
204:5	"ep? ...to?"
204:8	"altfian alxa et lant kok tyu,? xion hazki"
204:15	"non ret fan xe a tyu, alkatis"
204:19	"le varde et kaks tisse. tio, le melxe le xa zok et fiel deel"
204:21	"lala... lala es tyu jins sen tu?"
204:22	"saa, mil non et fuulan kaks?"
204:23	"tet... tyu rensat nan te axk a fuul sete?"
204:24	"ax, non te fuulan rat, mil non xar el amis xin fuul tis rakel. fok, xel amel, non sols rin eeta
204:25	na adin on fuul. xom non oktat vil tu ka alia etta"
204:29	"duurga yutia en vortes. non lax tyu vano fia lenan, alkatis iten yumana"
205:3	"a...alna"
205:5	"xion etta, myun nekt tu xook it il, ret"
205:28	"vantant, tu et soda emt tisse"
205:29	"tyu to fan,?? ol tu et kaks!"
206:4	"nee, el sed sen tu sofel soa? an na tu et tio melxe e diad"
206:6	"diad? ...hqq, tu et senxan"
206:7	"son ans rig van tu miskel? ol tu sil rig, tu et kamil diad"
206:9	"non xam vil tu. kaat varde at lad im vaste yut saal tikno. im lemel, sart sein sit diad, hayu melxe
206:10	at lad kokko flia e"
206:11	"hqm, son ak el jins tu melxe de flia az?"
206:12	"flia imen lemel eks flia ladl hot, arxe. see flia ladl aluut til robi du fi"
206:14	"non fixat ax on tu vadel fein a. lilis il, tu melxe te flia ladl olta aven. alson tu eks le varde
206:15	te kaks"
206:23	"hai, tu zon et erfi xanel?"
210:7	"alfi, non nad nan tur xet on gil xalt tyu. xom non pent tyu..."
210:9	"tyu te gaato merel e. xink sol non alk yu tyu. non en tur reia mil tyu, xion"
210:11	"lein..."
210:12	"xom, te leev non"
210:24	rek kairek tin
210:25	tin
210:26	tin
210:27	xiv kai
211:2	 ,  ,  ,
211:24	"naa"
211:26	ae
211:28	"soonoyun, arxe"
211:29	"ya, soono, tiis"
212:20	atiili
215:7	"nee, tyu et niit a non sete?"
215:8	"mm?"
215:9	"myun okt aja e lea o rulna"
215:10	"mm... lea et 50 oksgal"
215:11	"...soa a"
215:14	"yan rulna et 150 oksgal na"
215:15	"! ......soa, e"
216:14	mixpaxea
217:5	"leev, lilis"
217:6	"mono!"
217:13	"lein yutia kok??"
217:16	"asm van me, ti et lein yutia kok?"
218:12	"lein, fi vak xa atu a?"
218:13	"vak?? te, teo etto, gaato mi atu tisse! tet lala es??"
218:15	"tu et hao, man an vas fal laas"
218:18	"teo! laas til gel as nonno!"
218:20	"tur, leebe fo e gel solsik an xarik tu et varde kaks. lein, tu et fiana. ans vas fal laas"
219:4	"arxe, lena yol xiit tu elen lex dilkon"
219:15	"lein, tu ra til nektfont?"
219:16	"ya, ko lie ra"
219:17	"ren jet. arxe, tyu mir evo atu!"
219:19	"xiyu, neeme!"
219:23	"passo, son tyu ren nekt nan a ka vind"
219:25	"ax! ...tet lilis?"
219:26	"lena et vanoan tuan, lein"
220:3	"i tur, non rik i tu ra var nektfont lie. see non vand sil laas rot jan. alfi, non ar fan
220:4	minxvand. son tyu mir hom omi im non vand kit laas, vand laas, passo?"
220:6	"tal... tu et lami tinka. sol an ar van minxvand"
220:7	"sentant, tet fon em vik niit im tur as, arxe alteems. ketta, lena si mel!"
220:8	"...atte, aa, neeme"
221:21	"arxe! kettaaaaa!"
221:26	"wei!"
222:4	"tuube miba!"
222:12	"dert a lastia, miba"
222:24	"wei! ti tok a?? ala es ti en vortik??"
223:8	"we, to??"
223:12	"wei, re sef tu al an!"
223:14	"beo, tu et antes! re sef!"
223:19	"lami aaaa!"
224:5	"sara??"
224:7	"ema xontik klans in"
224:15	"see sara, es ti luna atu?"
224:16	"klans et xina ento til hacn teu fuulan e. luus minxkeit klans i toxel. alia xaklat tu, kapat al ema"
224:19	"xink, ema anot nan luna atu sa klans. tet milgaal font lika..."
224:20	"ahah, tu et alfi ti ik solxe xelf kolset font lika e"
225:19	"saa, re ixn a gan. ne solsat walet minxkei kalas?"
225:24	"teo, sara etta!"
225:26	"sol lumir mist til dia ketins
225:27	kokko piyo tis anne"
226:3	"fenzel alsaal tisse..."
226:7	"ak fenzel serat on varde?"
226:8	"tex nain le fosat nebra"
226:14	"fenzel lana to kokko varde mian?"
226:15	"...qm"
226:19	"fenzel set fan artena kokko vastria lana em aster sam tisse"
226:30	tyu pornat ano luut?
227:1	"im toxel, an asmat a bekka yul vastria alt et to. see la kut tu et elfi"
227:4	"el set sen netal kon varde ol lu vienem varde kon elfi e"
228:3	"non ter siia la til altra ka alsia tan tisse. tet non en ser xaka tuul"
228:11	"im e dunex, tiis il. in, melk tur varzon"
228:16	"tuan et kalo alka in. tyu si kuina?"
228:17	"tee, tio, kulala tur kalo. luus vi til vix. yan tiis vi et lestir. son an bas di"
228:19	"tet... tyu et kai nod lena. son tyu xir kulala di na"
228:23	"m? ti kuk to?"
228:24	"tee, vers e"
229:5	kover
229:18	"passo, xom lena yui xiit"
229:28	"qp qp, tu et ak??"
230:1	"lee, tu axlei imen non at tolis 7. see tu rens la taut 1 ra kaen alsia"
230:3	"yan raka tuul et... soa in"
232:6	anpentant, dina anvantant, sara lua
232:7	"ilpasso"
232:23	"hei sara, ti luna das ok ans"
232:24	"qm... ema kolt fan kokko kern e. tab lan xe on fenzel"
232:25	"hqm... xiyu"
233:25	"mm..."
233:28	"wein, arxe"
233:29	"tal tu et vilfonl"
233:30	"senfonl!"
234:4	"an en nalx xion tet ti man ti et fim, yunk"
234:9	"lala es tyu ser rigom e yame... leim, yame em rig ol el rig kuki. tal... es tu te rig?"
234:10	"an lo ti asm fonl tuube, lein. ya, ketta!"
235:11	"lein?"
235:14	"papa!"
235:20	"papaaaa!"
235:30	"anfiima, dyussou"
236:1	"arxe?? ala es... kaat luumi mana et..."
236:4	"hadhacma, dyussou duurga. non et xion hazki le lunat it altfia lana vano miva tuan"
236:5	"...xante?"
236:8	"papa, lu rensik rulen e. see lu et semaim noan. non rans fan il i tur"
236:9	"ya, son a pot"
237:2	"mm? an loki sen ti en merel. diin, atta on lein a"
238:6	"qm... arxe. tu et asm zal tet... tyu lo to on lein e?"
238:8	"saa, la et limel ank tisee"
238:10	"xom on alia?"
238:11	"la tan et soa e"
238:12	"limel o limel... xom on sara san?"
238:14	"la et hacna alka a"
238:16	"soa e..."
238:25	"see, see, see..."
238:27	"tyu et passo,? on lunas beke. alfi... tian tuan nalx elf tyu?"
238:29	"tian? kaat an si tian e"
239:5	"xom... tyu lo on..."
239:8	"tyu lo... on... on..."
239:14	"on... on..."
239:21	"mm?"
240:5	"xion, ti lax sokta ant?"
240:6	"...ya"
240:7	"tal an lokik vei tis. son ren vat kalt an loki sen em kliz tur merel"
240:8	"ya... m?"
240:13	"mon an loki vil ti im tur. tal xiel an loki sen em ti xi fel nihongo ati vein e"
240:21	"nanan. tu et fie a. hel? ans yol vil anse im tur e?"
241:2	"hqr? tyu kuk to e?"
242:4	"an taf van er"
243:11	"hei, tiis na ban in a"
243:13	non lad fan etek anne
243:27	"sent, xion"
244:11	"hqm?"
244:21	"qm... dyussou, non asm lan xe"
244:23	"tyu et artan kaks?"
244:26	"ya, fin an nektates tu i miva as"
244:27	"qm... xink, fia noan si art o mirok ento non in lan art ras 1"
244:28	"xion liiz, el yol xin art lana sins nos et artan kaks tisee. tal tu et aal man ti et altfian, fok
244:29	vanot miva ant siina"
244:30	"lute"
245:11	"papa! a non tan, a non tan!!"
245:17	"saa lein, ti xal ibet in a"
245:30	"xion, non meaktat papa kolset tyu. tyu lut vano non siina. tyu et ermes noan e"
246:4	"non laap tyu, lein"
247:12	"res e fenzel lunar atu e!"
247:17	"ilpasso, ren ev tu"
247:28	"atta, klans xal atu. sakat dyussou duurga?"
247:29	"ya! mir lat a pot!"
248:7	"tuube..."
248:28	ilpasso e. tuube et kepl tis.
249:2	"tiis vastat res e fenzel ka kateej kok? alfi fenzel serat arxe et kola ant. tu eks hain tan sil
249:3	kola ant"
249:5	"alson leebe fenzel emi solsat nain fos la. hqn, laabe xaklat ano ant na. taik pornat ano antes in"
249:13	"kaat..."
249:15	"xe yol sen vastria sein tix dyussou hain?"
249:16	"ser veilan. tal en ser wel et kola e fenzel"
249:17	"axma. xom len lena sef fal tutu a dyussou hain"
249:20	"sara etta, tyu tab sen om dyussou pio yu a vita?"
249:24	"xalet tab sen e"
249:25	"xom tu et kilm im dyussou luul yu i yukka a yukaska"
250:12	"sara etta, tyu kor elf kokko lena?"
250:14	"polte ar ax ano yustil. ema lad fan noxe alt vesel. tab fan sano onen freinoa e"
250:15	"ya... ret. tet... namt. al alva..."
250:23	"ke xiit kon amo"
250:24	"amo? tyu til amo anmian,? dyussou"
250:25	"lana ke alsia i kateej, an eftat amo"
250:27	"eft?"
250:29	"tu at saia, lein. an yolat vil anse. ne tau sen amo kon fou sen solt tis teal?"
251:5	"weei miva, te in an gaatol"
251:6	"tee on en tu. tu et saia xel tyu eftat tu. tet... lala es tyu ser rigom e kuki?"
251:7	"ahah, an nekt van tuube kont soks artea"
251:8	"puppu!"
252:9	"ketta, tu font"
252:14	"papa, tyu til iton atu?"
253:1	"m?"
253:12	"tiis xookor to,? lein"
253:14	"yuu aalel. hai tyu kilx elf bix? non so fan xant nonno?"
253:15	"ala ne bette as sols miva kai so gaato a"
253:18	tu ra et lana to?
253:19	"tio yunerdoaserg tisee. pin an ail yol atu lex asra e fas"
253:27	"tex rat e, klans il o dyussou. freinoa pio yu kit i yukka"
253:28	"xelf a, fin tu et map"
253:29	"son ans leev xiit atu"
253:30	"tee, arxe. polte et xina in, mil amo le til freinoa rak sil le font"
254:3	"sara, in sen tu amo it atu?"
254:4	"ati leiz"
254:6	"xom lena mat ax lan a vei noxe na, ova 3 noxe. slea et duurga l'ar fino kor jan ka zok im
254:7	sak tu amo. bcea et arxe, xion, lein le vand amo lana petif hain. see trea et sara le vano bcea
254:8	minxel... nonno?"
254:11	"xam ti, lein"
254:25	"dyussou, ilpasso e"
254:26	"mir vano tu kad, yunk"
254:27	"alkyunk!"
254:28	"wei, arxe, varde ik me sord! atte a, lua ridia!"
255:13	"lala tuube et!"
255:14	"gel, mano ti til ins tap"
255:15	"es?? ak??"
255:16	"it asra e duurga. dyussou lafat tu"
255:19	"lala es laabe yuli ifi til gel as fien arbazard xin tuube eyo..."
255:21	"ti moz fonl fi al axon e diize, yunk. diin, an gel van holb t'amo pouk lana dil tu kor
255:22	a yukaska"
255:26	"hai, tyu til 1 gel hot?"
255:27	"ya, man an ser tiis en yol tu"
256:11	"lunak..."
256:12	"axte..."
256:15	"flea..."
256:17	"alis..."
256:19	"yan, xier! ketta!"
256:28	"ax! veer et opnan!"
257:1	"dyussou hain!"
257:6	"dyussou! non sef luna vastria a tyu!"
257:17	"xion, beke et lami!"
257:22	"xion! sefes varde a hain??"
257:23	"vant! non rekat man lain gel lena. tal dyussou aluut xa le amo! non inat, non inat la ranel kokko
257:24	tutu ins! yan varde, non tiles ranel!"
257:26	"tuube et yet..."
258:1	"vilxan, en nain tet vaan!"
258:2	"vilxan!"
258:4	"beo, tuube et kepl e fenzel xa! laabe porlot ano antes!"
258:16	"fenzel!"
258:19	"lein yutia, arxe alteems, laz knoos kok"
258:21	"en laz, mana!"
258:22	"teolo! tuube et meil!"
258:25	"an ser lax est tiil. a, tee, sa tu, an porlo tu fiina ti... xion,? tia?"
258:27	"an en ser ti lunas i wel kad. an en na lol a ti tet tu zon hot. ketta, re sef tu al artea"
258:28	"al en artea tet tyunan lana rig tu kad??"
258:30	"ala ti kuk to,? yunk. aa, arte"
259:4	"aaxa!"
259:7	"saia, son an taf van tu xi an sols luus set tiis"
259:19	"non et xion! non lunas atu it altfia lana vano tu fia!"
259:20	"ti... ala ti kuk to?"
259:22	"ketta!"
260:5	"xion... lena... meses yu far har l'et... non lo... vir"
260:6	"hqr??"
260:8	"es?? tuube et vilxan! ketta, tiis, gel, re gel!"
260:11	"vilxan. artan hot yol sen varde! ti! sol ti et yul ne??"
260:14	"to?? aca ti kur to eld! tuube et fi arten??"
260:15	"non et xion. non rens moa tu a tyu, fenzel"
